Course name,Department code,Course code,T,P,C,Tutorial,Lecturer name,Lecturer Title,Lecturer Id,Section code,Section name,Year,Section department,Class size
Communication Skills I,ENGL,157,0,0,2,0,Adjei Forson,,,,,1,Civil,180
Technical Drawing,ME,159,0,0,2,0,J. Aveyire,,,,,1,Civil,180
Basic Mechanics,ME,161,0,0,3,0,P.O. Tawiah,,,,,1,Civil,180
Elementary Structures,CE,157,0,0,3,0,R.O. Afrifa,,,,,1,Civil,180
Engineering Technology,CE,151,0,0,2,0,V.K.A. Acquaah,,,,,1,Civil,180
Intro to Information Technology,CE,157,0,0,1,0,E. Appiah-Effah/E.A. Donkor,,,,,1,Civil,180
Building Science And Services 1,ARC,155,0,0,2,0,V. Kootin- Sanwu,,,,,1,Civil,180
Elements Of Economics 1,ECON,151,0,0,2,0,John- Bosco Dramani,,,,,1,Civil,180
French For Communication Purposes 1,FREN,181,0,0,2,0,D. Pimpong,,,,,1,Civil,180
Differential Equations,MATH,251,0,0,4,0,K.F. Darkwah,,,,,2,Civil,112
Literature in English,ENGL,263,0,0,1,0,P. Abaka,,,,,2,Civil,112
Strength of Materials,CE,251,0,0,2,0,G. Sossou,,,,,2,Civil,112
Theory of Structures,CE,255,0,0,3,0,J.W. Ampofo,,,,,2,Civil,112
Computer Programming,CE,257,0,0,2,0,C. Gyamfi/J. B. Osei,,,,,2,Civil,112
Engineering Geology,CE,259,0,0,2,0,V.K.A. Acquaah,,,,,2,Civil,112
Principles of Design,CE,261,0,0,2,0,F.O.K. Anyemedu,,,,,2,Civil,112
Computer Aided Design,CE,263,0,0,2,0,J. B. Osei,,,,,2,Civil,112
Engineering in Society,CENG,291,0,0,2,0,H. Essandoh/E. Appiah-Effah,,,,,2,Civil,112
Numerical Methods,MATH,351,0,0,2,0,P. Amoako-Yirenkyi,,,,,3,civil,140
Statistics,MATH,353,0,0,2,0,G. A. Okyere,,,,,3,civil,140
Engineering Surveying,GE,381,0,0,3,0,A. Arko-Adjei,,,,,3,civil,140
Structural Analysis,CE,351,0,0,2,0,R.O. Afrifa/J. B. Osei,,,,,3,civil,140
Reinforced Concrete Design,CE,353,0,0,3,0,R.O. Afrifa,,,,,3,civil,140
Hydrology,CE,355,0,0,2,0,K.A. Adjei/C. Gyamfi,,,,,3,civil,140
Soil Mechanics,CE,359,0,0,3,0,F. Owusu-Nimo,,,,,3,civil,140
Highway And Transportation Engineering I,CE,367,0,0,2,0,C. A. Adams,,,,,3,civil,140
Engineering Economy And Entrepreneurship,CE,461,0,0,3,0,K.B. Nyarko/E. A. Donkor,,,,,4,Civil,79
Irrigation And Drainage Engineering,CE,471,0,0,2,0,G.K. Anornu,,,,,4,Civil,79
Structural Engineering I,CE,451,0,0,3,0,J. W. Ampofo/ M. Adom Asamoah,,,,,4,Civil,79
Drainage Systems,CE,457,0,0,3,0,G.K. Anornu/ S. N. Odai,,,,,4,Civil,79
Water And Waste Water Engineering,CE,463,0,0,3,0,R. A. Buamah/ S. Oduro-Kwarteng,,,,,4,Civil,79
Highway Engineering,CE,467,0,0,3,0,Y. A. Tuffour,,,,,4,Civil,79
Development Engineering,CE,473,0,0,3,0,S. I. K. Ampadu/ Y. A. Tuffour,,,,,4,Civil,79
Systems Engineering I,CE,475,0,0,3,0,E. A. Donkor,,,,,4,Civil,79
Geotechnical Engineering I,CE,477,0,0,3,0,S. I. K. Ampadu/ B. Ali,,,,,4,Civil,79
Algebra,MATH,151,4,1,4,0,W. Obeng-Denteh,,,,,1,Mechanical,80
Communication Skills I,ENGL,157,2,0,2,0,P. Abaka,,,,,1,Mechanical,80
Applied Electricity,EE,151,2,2,3,0,A. R. Ahmed,,,,,1,Mechanical,80
Environmental Studies,CE,155,2,0,2,0,R. Buamah,,,,,1,Mechanical,80
Technical Drawing,ME,159,2,2,3,0,A.K. Sunnu/J. Afriyie,,,,,1,Mechanical,80
Engineering Technology I,ME,195,0,5,2,0,P. O. Tawiah,,,,,1,Mechanical,80
Introduction to Information Technology,ME,157,1,2,2,0,M. N. Sackey,,,,,1,Mechanical,80
Differential Equations,MATH,251,4,1,4,0,F. T. Oduro,,,,,2,Mechanical,85
Literature in English I,ENGL,263,1,0,1,0,P. Abakah,,,,,2,Mechanical,85
Dynamics of Solid Mechanics,ME,261,2,0,2,0,J. Ampofo,,,,,2,Mechanical,85
Introduction to Fluid Mechanics,ME,251,2,0,2,0,Y. A. K Fiagbe,,,,,2,Mechanical,85
Engineering Materials I,ME,281,2,0,2,0,G. Takyi,,,,,2,Mechanical,85
Strength of Materials I,ME,255,3,1,3,0,P. Y. Andoh,,,,,2,Mechanical,85
Applications of Computer Graphics,ME,259,2,2,3,0,M. N. Sackey,,,,,2,Mechanical,85
Mechanical Engineering Laboratory I,ME,295,0,3,1,0,R. Opoku,,,,,2,Mechanical,85
Engineering in Society,CENG,291,0,1,1,0,F. W. Adam,,,,,2,Mechanical,85
Machine Element Design,ME,373,3,0,3,0,P. Y. Andoh,,,,,3,Mechanical,100
Dynamics of Machinery,ME,361,3,0,3,0,S. M. Sackey,,,,,3,Mechanical,100
Mechanical Engineering Lab. III,ME,395,0,3,1,0,Y. A. K. Fiagbe,,,,,3,Mechanical,100
Thermodynamics II,ME,365,3,0,3,0,F. K. Forson,,,,,3,Mechanical,100
Automatic Control I,ME,363,2,1,2,0,E. A. Adjei,,,,,3,Mechanical,100
Probability and Statistics,MATH,353,2,1,2,0,A. Y. Omari-Sasu,,,,,3,Mechanical,100
Numerical Analysis,MATH,351,2,1,2,0,P. A. Yirenkyi,,,,,3,Mechanical,100
Introduction to Economics I,ECON,151,2,0,2,0,E. Buabeng,,,,,3,Mechanical,100
Engineering Economy & Management,ME,491,2,0,2,0,A. K. Intsiful,,,,,4,Mechanical,90
Hydraulics and Pneumatics,ME,453,3,1,3,0,Y. A. K. Fiagbe,,,,,4,Mechanical,90
